Problem,Status,,
Reverse the array,Done,,
Find the maximum and minimum element in an array,Done,,
"Find the ""Kth"" max and min element of an array ",Done,,
"Given an array which consists of only 0, 1 and 2. Sort the array without using any sorting algo",Done,,
Move all the negative elements to one side of the array ,Done,,
Find the Union and Intersection of the two sorted arrays.,Done,,
Write a program to cyclically rotate an array by one.,Done,Good Logic(check solution once),
find Largest sum contiguous Subarray [V. IMP],Done,Tukka ho sakta hai revise kar lena,
Minimise the maximum difference between heights [V.IMP],Done,,
Minimum no. of Jumps to reach end of an array,Couldn't solve,,
find duplicate in an array of N+1 Integers,solve again,cyclic sort use karna tha,
Merge 2 sorted arrays without using Extra space.,Yet to do,,
Kadane's Algo [V.V.V.V.V IMP],Done,Revise,
Merge Intervals,Done,,
Next Permutation,Yet to do,,
Count Inversion,Couldn't solve,1110/1115 test case passed and time limit exceeded find an optimal solution,
Best time to buy and Sell stock,Done,O(N) time complexity me solve kiya,
find all pairs on integer array whose sum is equal to given number,Done,O(NlogN) time complexity me solve kiya,
find common elements In 3 sorted arrays,Couldn't solve,,
Rearrange the array in alternating positive and negative items with O(1) extra space,Couldn't solve,,
Find factorial of a large number,Yet to do,Logic sahi hai par bas kuch thodi technical bakchodi,
find maximum product subarray ,Yet to do,,
Find longest coinsecutive subsequence,Yet to do,,
"Given an array of size n and a number k, fin all elements that appear more than "" n/k "" times.",Couldn't solve,Ek case me time limit exceed ho rahi,
Maximum profit by buying and selling a share atmost twice,Yet to do,,
Find whether an array is a subset of another array,Couldn't solve,,
Find the triplet that sum to a given value,Done,,
Trapping Rain water problem,solve again,Boolean matrix se kiya hai,Method 2: start wale element ko minus karte rehna
Chocolate Distribution problem,Done,,
Smallest Subarray with sum greater than a given value,Done,,
Three way partitioning of an array around a given value,Done,,
Minimum swaps required bring elements less equal K together,Done,,
Minimum no. of operations required to make an array palindrome,Done,,
Median of 2 sorted arrays of equal size,Done,,
Median of 2 sorted arrays of different size,Done,,