Problem,Status
Rat in a maze Problem,Done
Printing all solutions in N-Queen Problem,Done
Word Break Problem using Backtracking,Done
Remove Invalid Parentheses,Done
Sudoku Solver,Done
m Coloring Problem,Yet to do
Print all palindromic partitions of a string,Yet to do
Subset Sum Problem,Yet to do
The Knightâ€™s tour problem,Yet to do
Tug of War,Yet to do
Find shortest safe route in a path with landmines,Yet to do
Combinational Sum,Yet to do
Find Maximum number possible by doing at-most K swaps,Done
Print all permutations of a string ,Yet to do
Find if there is a path of more than k length from a source,Yet to do
Longest Possible Route in a Matrix with Hurdles,Done
Print all possible paths from top left to bottom right of a mXn matrix,Done
Partition of a set intoK subsets with equal sum,Done
Find the K-th Permutation Sequence of first N natural numbers,Done