category,title,status,brief
Trie,Construct a trie from scratch,unsolved,
Trie,Find shortest unique prefix for every word in a given list,unsolved,
Trie,Word Break Problem | (Trie solution),unsolved,
Trie,"Given a sequence of words, print all anagrams together",unsolved,
Trie,Implement a Phone Directory,unsolved,
Trie,Print unique rows in a given boolean matrix,unsolved,
Searching and Sorting,Find first and last positions of an element in a sorted array,solved,
Searching and Sorting,Find a Fixed Point (Value equal to index) in a given array,solved,
Searching and Sorting,Search in a rotated sorted array,solved,
Searching and Sorting,square root of an integer,solved,
Searching and Sorting,Maximum and minimum of an array using minimum number of comparisons,solved,
Searching and Sorting,Optimum location of point to minimize total distance,unsolved,
Searching and Sorting,Find the repeating and the missing,unsolved,
Searching and Sorting,find majority element,solved,
Searching and Sorting,Searching in an array where adjacent differ by at most k,solved,
Searching and Sorting,find a pair with a given difference,solved,
Searching and Sorting,find four elements that sum to a given value,unsolved,
Searching and Sorting,maximum sum such that no 2 elements are adjacent,solved,
Searching and Sorting,Count triplet with sum smaller than a given value,solved,
Searching and Sorting,merge 2 sorted arrays,unsolved,
Searching and Sorting,print all subarrays with 0 sum,solved,
Searching and Sorting,Product array Puzzle,solved,
Searching and Sorting,Sort array according to count of set bits,unsolved,
Searching and Sorting,minimum no. of swaps required to sort the array,solved,
Searching and Sorting,Bishu and Soldiers,unsolved,
Searching and Sorting,Rasta and Kheshtak,unsolved,
Searching and Sorting,Kth smallest number again,unsolved,
Searching and Sorting,Find pivot element in a sorted array,unsolved,
Searching and Sorting,K-th Element of Two Sorted Arrays,unsolved,
Searching and Sorting,Aggressive cows,unsolved,
Searching and Sorting,Book Allocation Problem,unsolved,
Searching and Sorting,EKOSPOJ:,unsolved,
Searching and Sorting,Job Scheduling Algo,unsolved,
Searching and Sorting,Missing Number in AP,unsolved,
Searching and Sorting,Smallest number with atleastn trailing zeroes infactorial,unsolved,
Searching and Sorting,Painters Partition Problem:,unsolved,
Searching and Sorting,ROTI-Prata SPOJ,unsolved,
Searching and Sorting,DoubleHelix SPOJ,unsolved,
Searching and Sorting,Subset Sums,unsolved,
Searching and Sorting,Findthe inversion count,unsolved,
Searching and Sorting,Implement Merge-sort in-place,unsolved,
Searching and Sorting,Partitioning and Sorting Arrays with Many Repeated Entries,unsolved,
Linked List,Write a Program to reverse the Linked List. (Both Iterative and recursive),attempted,Only Iteratie done
Linked List,Reverse a Linked List in group of Given Size. [Very Imp],unsolved,
Linked List,Write a program to Detect loop in a linked list.,solved,Fast slow method
Linked List,Find the starting point of the loop.,solved,
Linked List,Remove Duplicates in a sorted Linked List.,solved,
Linked List,Remove Duplicates in a Un-sorted Linked List.,solved,
Linked List,Write a Program to Move the last element to Front in a Linked List.,solved,
Linked List,Add “1” to a number represented as a Linked List.,solved,Recurssion use karke kiya hai and ig its the best solution
Linked List,Add two numbers represented by linked lists.,solved,Recurssion use karna hai but dikkat yeh hai ke num1 ya num 2 khatm ho jaay toh kya(i.e jo chota number hai usske head ke baad)
Linked List,Intersection of two Sorted Linked List.,solved,
Linked List,Intersection Point of two Linked Lists.,unsolved,Abhi toh bohot bekkar method use kar raha hu need to find a optimal solution as time limit exceed ho rahi hai
Linked List,Merge Sort For Linked lists.[Very Important],attempted,
Linked List,Quicksort for Linked Lists.[Very Important],unsolved,
Linked List,Find the middle Element of a linked list.,solved,
Linked List,Check if a linked list is a circular linked list.,solved,
Linked List,Split a Circular linked list into two halves.,attempted,Teaches how to use pair
Linked List,Write a Program to check whether the Singly Linked list is a palindrome or not.,unsolved,
Linked List,Deletion from a Circular Linked List.,attempted,Bhai issme bohot bohot complications hai acche se dekhna maine kya kya kiya hai to understand all the complications
Linked List,Reverse a Doubly Linked list.,solved,
Linked List,Find pairs with a given sum in a DLL.,solved,
Linked List,Count triplets in a sorted DLL whose sum is equal to given value “X”.,solved,
Linked List,Sort a “k”sorted Doubly Linked list.[Very IMP],unsolved,
Linked List,Rotate DoublyLinked list by N nodes.,unsolved,
Linked List,Rotate a Doubly Linked list in group of Given Size.[Very IMP],unsolved,
Linked List,Can we reverse a linked list in less than O(n) ?,unsolved,
Linked List,Why Quicksort is preferred for. Arrays and Merge Sort for LinkedLists ?,unsolved,
Linked List,Flatten a Linked List,solved,
Linked List,"Sort a LL of 0's, 1's and 2's",solved,
Linked List,Clone a linked list with next and random pointer,solved,
Linked List,Merge K sorted Linked list,solved,
Linked List,Multiply 2 no. represented by LL,solved,
Linked List,Delete nodes which have a greater value on right side,solved,
Linked List,Segregate even and odd nodes in a Linked List,solved,
Linked List,Program for n’th node from the end of a Linked List,solved,
Linked List,Find the first non-repeating character from a stream of characters,solved,
Matrix,Spiral traversal on a Matrix,solved,
Matrix,Search an element in a matriix,unsolved,
Matrix,Find median in a row wise sorted matrix,solved,
Matrix,Find row with maximum no. of 1's,unsolved,
Matrix,Print elements in sorted order using row-column wise sorted matrix,solved,
Matrix,Maximum size rectangle,solved,
Matrix,Find a specific pair in matrix,solved,
Matrix,Rotate matrix by 90 degrees,unsolved,
Matrix,Kth smallest element in a row-cpumn wise sorted matrix,unsolved,
Matrix,Common elements in all rows of a given matrix,unsolved,
Bit Manipulation,Count set bits in an integer,solved,
Bit Manipulation,Find the two non-repeating elements in an array of repeating elements,solved,
Bit Manipulation,Count number of bits to be flipped to convert A to B,solved,
Bit Manipulation,Count total set bits in all numbers from 1 to n,solved,
Bit Manipulation,Program to find whether a no is power of two,solved,
Bit Manipulation,Find position of the only set bit,attempted,
Bit Manipulation,Copy set bits in a range,unsolved,
Bit Manipulation,"Divide two integers without using multiplication, division and mod operator",unsolved,
Bit Manipulation,"Calculate square of a number without using *, / and pow()",solved,
Bit Manipulation,Power Set,solved,
Arrays,Reverse the array,solved,
Arrays,Find the maximum and minimum element in an array,solved,
Arrays,"Find the ""Kth"" max and min element of an array",solved,
Arrays,"Given an array which consists of only 0, 1 and 2. Sort the array without using any sorting algo",solved,
Arrays,Move all the negative elements to one side of the array,solved,
Arrays,Find the Union and Intersection of the two sorted arrays.,solved,
Arrays,Write a program to cyclically rotate an array by one.,solved,
Arrays,find Largest sum contiguous Subarray [V. IMP],solved,
Arrays,Minimise the maximum difference between heights [V.IMP],solved,
Arrays,Minimum no. of Jumps to reach end of an array,attempted,
Arrays,find duplicate in an array of N+1 Integers,attempted,
Arrays,Merge 2 sorted arrays without using Extra space.,unsolved,
Arrays,Kadane's Algo [V.V.V.V.V IMP],solved,
Arrays,Merge Intervals,solved,
Arrays,Next Permutation,unsolved,
Arrays,Count Inversion,attempted,
Arrays,Best time to buy and Sell stock,solved,
Arrays,find all pairs on integer array whose sum is equal to given number,solved,
Arrays,find common elements In 3 sorted arrays,attempted,
Arrays,Rearrange the array in alternating positive and negative items with O(1) extra space,attempted,
Arrays,Find factorial of a large number,unsolved,
Arrays,find maximum product subarray,unsolved,
Arrays,Find longest coinsecutive subsequence,unsolved,
Arrays,"Given an array of size n and a number k, fin all elements that appear more than "" n/k "" times.",attempted,
Arrays,Maximum profit by buying and selling a share atmost twice,unsolved,
Arrays,Find whether an array is a subset of another array,attempted,
Arrays,Find the triplet that sum to a given value,solved,
Arrays,Trapping Rain water problem,attempted,
Arrays,Chocolate Distribution problem,solved,
Arrays,Smallest Subarray with sum greater than a given value,solved,
Arrays,Three way partitioning of an array around a given value,solved,
Arrays,Minimum swaps required bring elements less equal K together,solved,
Arrays,Minimum no. of operations required to make an array palindrome,solved,
Arrays,Median of 2 sorted arrays of equal size,solved,
Arrays,Median of 2 sorted arrays of different size,solved,
Strings,Reverse a String,solved,
Strings,Check whether a String is Palindrome or not,solved,
Strings,Find Duplicate characters in a string,solved,
Strings,Why strings are immutable in Java?,unsolved,
Strings,Write a Code to check whether one string is a rotation of another,attempted,
Strings,Write a Program to check whether a string is a valid shuffle of two strings or not,unsolved,
Strings,Count and Say problem,solved,
Strings,Write a program to find the longest Palindrome in a string.[ Longest palindromic Substring],unsolved,
Strings,Find Longest Recurring Subsequence in String,unsolved,
Strings,Print all Subsequences of a string.,unsolved,
Strings,Print all the permutations of the given string,unsolved,
Strings,Split the Binary string into two substring with equal 0’s and 1’s,solved,
Strings,Word Wrap Problem [VERY IMP].,unsolved,
Strings,EDIT Distance [Very Imp],unsolved,
Strings,Find next greater number with same set of digits. [Very Very IMP],unsolved,
Strings,Balanced Parenthesis problem.[Imp],unsolved,
Strings,Word break Problem[ Very Imp],solved,
Strings,Rabin Karp Algo,unsolved,
Strings,KMP Algo,unsolved,
Strings,Convert a Sentence into its equivalent mobile numeric keypad sequence.,unsolved,
Strings,Minimum number of bracket reversals needed to make an expression balanced.,unsolved,
Strings,Count All Palindromic Subsequence in a given String.,unsolved,
Strings,Count of number of given string in 2D character array,unsolved,
Strings,Search a Word in a 2D Grid of characters.,unsolved,
Strings,Boyer Moore Algorithm for Pattern Searching.,unsolved,
Strings,Converting Roman Numerals to Decimal,unsolved,
Strings,Longest Common Prefix,unsolved,
Strings,Number of flips to make binary string alternate,unsolved,
Strings,Find the first repeated word in string.,unsolved,
Strings,Minimum number of swaps for bracket balancing.,unsolved,
Strings,Find the longest common subsequence between two strings.,solved,
Strings,Program to generate all possible valid IP addresses from given  string.,unsolved,
Strings,Write a program tofind the smallest window that contains all characters of string itself.,unsolved,
Strings,Rearrange characters in a string such that no two adjacent are same,unsolved,
Strings,Minimum characters to be added at front to make string palindrome,unsolved,
Strings,"Given a sequence of words, print all anagrams together",unsolved,
Strings,Find the smallest window in a string containing all characters of another string,unsolved,
Strings,Recursively remove all adjacent duplicates,unsolved,
Strings,String matching where one string contains wildcard characters,unsolved,
Strings,Function to find Number of customers who could not get a computer,unsolved,
Strings,Transform One String to Another using Minimum Number of Given Operation,unsolved,
Strings,Check if two given strings are isomorphic to each other,unsolved,
Strings,Recursively print all sentences that can be formed from list of word lists,unsolved,
Backtracking,Rat in a maze Problem,solved,
Backtracking,Printing all solutions in N-Queen Problem,solved,
Backtracking,Word Break Problem using Backtracking,solved,
Backtracking,Remove Invalid Parentheses,solved,
Backtracking,Sudoku Solver,solved,
Backtracking,m Coloring Problem,unsolved,
Backtracking,Print all palindromic partitions of a string,unsolved,
Backtracking,Subset Sum Problem,unsolved,
Backtracking,The Knight’s tour problem,unsolved,
Backtracking,Tug of War,unsolved,
Backtracking,Find shortest safe route in a path with landmines,unsolved,
Backtracking,Combinational Sum,unsolved,
Backtracking,Find Maximum number possible by doing at-most K swaps,solved,
Backtracking,Print all permutations of a string,unsolved,
Backtracking,Find if there is a path of more than k length from a source,unsolved,
Backtracking,Longest Possible Route in a Matrix with Hurdles,solved,
Backtracking,Print all possible paths from top left to bottom right of a mXn matrix,solved,
Backtracking,Partition of a set intoK subsets with equal sum,solved,
Backtracking,Find the K-th Permutation Sequence of first N natural numbers,solved,
Binary Search Tree,Fina a value in a BST,solved,
Binary Search Tree,Deletion of a node in a BST,unsolved,
Binary Search Tree,Find min and max value in a BST,unsolved,
Binary Search Tree,Find inorder successor and inorder predecessor in a BST,unsolved,
Binary Search Tree,Check if a tree is a BST or not,unsolved,
Binary Search Tree,Populate Inorder successor of all nodes,unsolved,
Binary Search Tree,Find LCA  of 2 nodes in a BST,unsolved,
Binary Search Tree,Construct BST from preorder traversal,unsolved,
Binary Search Tree,Convert Binary tree into BST,unsolved,
Binary Search Tree,Convert a normal BST into a Balanced BST,unsolved,
Binary Search Tree,Merge two BST [ V.V.V>IMP ],unsolved,
Binary Search Tree,Find Kth largest element in a BST,unsolved,
Binary Search Tree,Find Kth smallest element in a BST,unsolved,
Binary Search Tree,"Count pairs from 2 BST whose sum is equal to given value ""X""",unsolved,
Binary Search Tree,Find the median of BST in O(n) time and O(1) space,unsolved,
Binary Search Tree,Count BST ndoes that lie in a given range,unsolved,
Binary Search Tree,Replace every element with the least greater element on its right,unsolved,
Binary Search Tree,"Given ""n"" appointments, find the conflicting appointments",unsolved,
Binary Search Tree,Check preorder is valid or not,unsolved,
Binary Search Tree,Check whether BST contains Dead end,unsolved,
Binary Search Tree,Largest BST in a Binary Tree [ V.V.V.V.V IMP ],unsolved,
Binary Search Tree,Flatten BST to sorted list,unsolved,
Binary Tree,level order traversal,solved,
Binary Tree,Reverse Level Order traversal,unsolved,
Binary Tree,Height of a tree,solved,
Binary Tree,Diameter of a tree,solved,
Binary Tree,Mirror of a tree,solved,
Binary Tree,Inorder Traversal of a tree both using recursion and Iteration,solved,
Binary Tree,Preorder Traversal of a tree both using recursion and Iteration,solved,
Binary Tree,Postorder Traversal of a tree both using recursion and Iteration,solved,
Binary Tree,Left View of a tree,unsolved,
Binary Tree,Right View of Tree,unsolved,
Binary Tree,Top View of a tree,unsolved,
Binary Tree,Bottom View of a tree,unsolved,
Binary Tree,Zig-Zag traversal of a binary tree,unsolved,
Binary Tree,Check if a tree is balanced or not,unsolved,
Binary Tree,Diagnol Traversal of a Binary tree,unsolved,
Binary Tree,Boundary traversal of a Binary tree,unsolved,
Binary Tree,Construct Binary Tree from String with Bracket Representation,unsolved,
Binary Tree,Convert Binary tree into Doubly Linked List,unsolved,
Binary Tree,Convert Binary tree into Sum tree,unsolved,
Binary Tree,Construct Binary tree from Inorder and preorder traversal,unsolved,
Binary Tree,Find minimum swaps required to convert a Binary tree into BST,unsolved,
Binary Tree,Check if Binary tree is Sum tree or not,unsolved,
Binary Tree,Check if all leaf nodes are at same level or not,unsolved,
Binary Tree,Check if a Binary Tree contains duplicate subtrees of size 2 or more [ IMP ],unsolved,
Binary Tree,Check if 2 trees are mirror or not,unsolved,
Binary Tree,Sum of Nodes on the Longest path from root to leaf node,unsolved,
Binary Tree,Check if given graph is tree or not.  [ IMP ],unsolved,
Binary Tree,Find Largest subtree sum in a tree,unsolved,
Binary Tree,Maximum Sum of nodes in Binary tree such that no two are adjacent,unsolved,
Binary Tree,"Print all ""K"" Sum paths in a Binary tree",solved,
Binary Tree,Find LCA in a Binary tree,unsolved,
Binary Tree,Find distance between 2 nodes in a Binary tree,unsolved,
Binary Tree,Kth Ancestor of node in a Binary tree,solved,
Binary Tree,Find all Duplicate subtrees in a Binary tree [ IMP ],solved,
Binary Tree,Tree Isomorphism Problem,solved,
Greedy,Activity Selection Problem,solved,
Greedy,Job SequencingProblem,unsolved,
Greedy,Huffman Coding,unsolved,
Greedy,Water Connection Problem,unsolved,
Greedy,Fractional Knapsack Problem,solved,
Greedy,Greedy Algorithm to find Minimum number of Coins,unsolved,
Greedy,Maximum trains for which stoppage can be provided,solved,
Greedy,Minimum Platforms Problem,solved,
Greedy,Buy Maximum Stocks if i stocks can be bought on i-th day,solved,
Greedy,Find the minimum and maximum amount to buy all N candies,unsolved,
Greedy,Minimize Cash Flow among a given set of friends who have borrowed money from each other,unsolved,
Greedy,Minimum Cost to cut a board into squares,solved,
Greedy,Check if it is possible to survive on Island,solved,
Greedy,Find maximum meetings in one room,solved,
Greedy,Maximum product subset of an array,solved,
Greedy,Maximize array sum after K negations,unsolved,
Greedy,Maximize the sum of arr[i]*i,solved,
Greedy,Maximum sum of absolute difference of an array,solved,
Greedy,Maximize sum of consecutive differences in a circular array,solved,
Greedy,Minimum sum of absolute difference of pairs of two arrays,solved,
Greedy,Program for Shortest Job First (or SJF) CPU Scheduling,unsolved,
Greedy,Program for Least Recently Used (LRU) Page Replacement algorithm,unsolved,
Greedy,Smallest subset with sum greater than all other elements,solved,
Greedy,Chocolate Distribution Problem,solved,
Greedy,DEFKIN -Defense of a Kingdom,unsolved,
Greedy,DIEHARD -DIE HARD,unsolved,
Greedy,GERGOVIA -Wine trading in Gergovia,unsolved,
Greedy,Picking Up Chicks,unsolved,
Greedy,CHOCOLA –Chocolate,unsolved,
Greedy,ARRANGE -Arranging Amplifiers,unsolved,
Greedy,K Centers Problem,unsolved,
Greedy,Minimum Cost of ropes,solved,
Greedy,Find smallest number with given number of digits and sum of digits,solved,
Greedy,Rearrange characters in a string such that no two adjacent are same,solved,
Greedy,Find maximum sum possible equal sum of three stacks,solved,
Dynamic Programming,Coin ChangeProblem,solved,
Dynamic Programming,Knapsack Problem,solved,
Dynamic Programming,Binomial CoefficientProblem,solved,
Dynamic Programming,Permutation CoefficientProblem,solved,
Dynamic Programming,Program for nth Catalan Number,solved,
Dynamic Programming,Matrix Chain Multiplication,unsolved,
Dynamic Programming,Edit Distance,unsolved,
Dynamic Programming,Subset Sum Problem,unsolved,
Dynamic Programming,Friends Pairing Problem,unsolved,
Dynamic Programming,Gold Mine Problem,solved,
Dynamic Programming,Assembly Line SchedulingProblem,unsolved,
Dynamic Programming,Painting the Fenceproblem,solved,
Dynamic Programming,Maximize The Cut Segments,solved,
Dynamic Programming,Longest Common Subsequence,solved,
Dynamic Programming,Longest Repeated Subsequence,solved,
Dynamic Programming,Longest Increasing Subsequence,unsolved,
Dynamic Programming,Space Optimized Solution of LCS,solved,
Dynamic Programming,LCS (Longest Common Subsequence) of three strings,solved,
Dynamic Programming,Maximum Sum Increasing Subsequence,solved,
Dynamic Programming,Count all subsequences having product less than K,unsolved,
Dynamic Programming,Longest subsequence such that difference between adjacent is one,unsolved,
Dynamic Programming,Maximum subsequence sum such that no three are consecutive,unsolved,
Dynamic Programming,Egg Dropping Problem,unsolved,
Dynamic Programming,Maximum Length Chain of Pairs,unsolved,
Dynamic Programming,Maximum size square sub-matrix with all 1s,solved,
Dynamic Programming,Maximum sum of pairs with specific difference,solved,
Dynamic Programming,Min Cost PathProblem,solved,
Dynamic Programming,Maximum difference of zeros and ones in binary string,solved,
Dynamic Programming,Minimum number of jumps to reach end,unsolved,
Dynamic Programming,Minimum cost to fill given weight in a bag,solved,
Dynamic Programming,Minimum removals from array to make max –min <= K,unsolved,
Dynamic Programming,Longest Common Substring,solved,
Dynamic Programming,Count number of ways to reacha given score in a game,solved,
Dynamic Programming,Count Balanced Binary Trees of Height h,unsolved,
Dynamic Programming,LargestSum Contiguous Subarray [V>V>V>V IMP ],solved,
Dynamic Programming,Smallest sum contiguous subarray,solved,
Dynamic Programming,Unbounded Knapsack (Repetition of items allowed),solved,
Dynamic Programming,Word Break Problem,solved,
Dynamic Programming,Largest Independent Set Problem,unsolved,
Dynamic Programming,Partition problem,solved,
Dynamic Programming,Longest Palindromic Subsequence,solved,
Dynamic Programming,Count All Palindromic Subsequence in a given String,solved,
Dynamic Programming,Longest Palindromic Substring,solved,
Dynamic Programming,Longest alternating subsequence,solved,
Dynamic Programming,Weighted Job Scheduling,unsolved,
Dynamic Programming,Coin game winner where every player has three choices,solved,
Dynamic Programming,Count Derangements (Permutation such that no element appears in its original position) [ IMPORTANT ],unsolved,
Dynamic Programming,Maximum profit by buying and selling a share at most twice [ IMP ],unsolved,
Dynamic Programming,Optimal Strategy for a Game,unsolved,
Dynamic Programming,Optimal Binary Search Tree,unsolved,
Dynamic Programming,Palindrome PartitioningProblem,unsolved,
Dynamic Programming,Word Wrap Problem,unsolved,
Dynamic Programming,Mobile Numeric Keypad Problem [ IMP ],unsolved,
Dynamic Programming,Boolean Parenthesization Problem,unsolved,
Dynamic Programming,Largest rectangular sub-matrix whose sum is 0,unsolved,
Dynamic Programming,Largest area rectangular sub-matrix with equal number of 1’s and 0’s [ IMP ],unsolved,
Dynamic Programming,Maximum sum rectangle in a 2D matrix,unsolved,
Dynamic Programming,Maximum profit by buying and selling a share at most k times,unsolved,
Dynamic Programming,Find if a string is interleaved of two other strings,unsolved,
Dynamic Programming,Maximum Length of Pair Chain,solved,
Stack and Queue,Implement Stack from Scratch,unsolved,
Stack and Queue,Implement Queue from Scratch,unsolved,
Stack and Queue,Implement 2 stack in an array,unsolved,
Stack and Queue,find the middle element of a stack,unsolved,
Stack and Queue,"Implement ""N"" stacks in an Array",unsolved,
Stack and Queue,Check the expression has valid or Balanced parenthesis or not.,unsolved,
Stack and Queue,Reverse a String using Stack,unsolved,
Stack and Queue,Design a Stack that supports getMin() in O(1) time and O(1) extra space.,unsolved,
Stack and Queue,Find the next Greater element,unsolved,
Stack and Queue,The celebrity Problem,unsolved,
Stack and Queue,Arithmetic Expression evaluation,unsolved,
Stack and Queue,Evaluation of Postfix expression,unsolved,
Stack and Queue,Implement a method to insert an element at its bottom without using any other data structure.,unsolved,
Stack and Queue,Reverse a stack using recursion,unsolved,
Stack and Queue,Sort a Stack using recursion,unsolved,
Stack and Queue,Merge Overlapping Intervals,unsolved,
Stack and Queue,Largest rectangular Area in Histogram,unsolved,
Stack and Queue,Length of the Longest Valid Substring,unsolved,
Stack and Queue,Expression contains redundant bracket or not,unsolved,
Stack and Queue,Implement Stack using Queue,unsolved,
Stack and Queue,Implement Stack using Deque,unsolved,
Stack and Queue,Stack Permutations (Check if an array is stack permutation of other),unsolved,
Stack and Queue,Implement Queue using Stack,unsolved,
Stack and Queue,"Implement ""n"" queue in an array",unsolved,
Stack and Queue,Implement a Circular queue,unsolved,
Stack and Queue,LRU Cache Implementationa,unsolved,
Stack and Queue,Reverse a Queue using recursion,unsolved,
Stack and Queue,Reverse the first “K” elements of a queue,unsolved,
Stack and Queue,Interleave the first half of the queue with second half,unsolved,
Stack and Queue,Find the first circular tour that visits all Petrol Pumps,unsolved,
Stack and Queue,Minimum time required to rot all oranges,unsolved,
Stack and Queue,Distance of nearest cell having 1 in a binary matrix,unsolved,
Stack and Queue,First negative integer in every window of size “k”,unsolved,
Stack and Queue,Check if all levels of two trees are anagrams or not.,unsolved,
Stack and Queue,Sum of minimum and maximum elements of all subarrays of size “k”.,unsolved,
Stack and Queue,Minimum sum of squares of character counts in a given string after removing “k” characters.,unsolved,
Stack and Queue,Queue based approach or first non-repeating character in a stream.,unsolved,
Stack and Queue,Next Smaller Element,unsolved,
